1	2	
3	4	
5	4	
6	7	
5	8	
9	10	
11	12	
13	14	
15	16	
17	18	
19	20	
21	20	
22	23	
22	24	
25	26	
6	27	
3	28	
29	28	
30	31	
15	32	
33	34	
35	36	
37	38	
39	40	
41	42	
22	43	
44	45	
30	46	
29	47	
6	48	
49	50	
30	51	
52	53	
30	54	
22	55	
56	57	
9	58	
6	58	
59	58	
3	60	
29	60	
22	61	
22	62	
63	62	
6	64	
22	65	
22	66	
62	66	
67	68	
69	70	
22	71	
39	72	
73	74	
6	75	
29	75	
9	76	
22	77	
62	77	
22	78	
79	80	
9	81	
82	83	
21	84	
85	86	
87	88	
89	90	
91	92	
3	93	
93	94	
9	94	
22	95	
96	95	
22	97	
24	97	
29	98	
99	100	
6	29	
22	101	
15	102	
103	102	
53	104	
29	105	
22	63	
22	106	
107	106	
29	108	
59	108	
53	44	
22	85	
22	109	
22	110	
25	111	
29	112	
113	114	
103	114	
11	115	
113	103	
95	116	
117	118	
3	119	
29	119	
93	119	
120	121	
5	122	
67	123	
22	124	
79	125	
29	126	
22	127	
22	128	
11	129	
17	130	
29	131	
39	132	
3	133	
29	3	
134	135	
29	136	
133	137	
94	137	
29	138	
139	140	
9	59	
22	141	
39	141	
142	143	
107	143	
22	17	
9	144	
29	145	
146	147	
148	149	
39	149	
40	149	
63	148	
6	150	
29	150	
126	150	
151	150	
52	152	
153	154	
29	155	
156	155	
63	157	
29	158	
142	159	
113	160	
22	107	
142	107	
69	107	
63	107	
161	162	
22	163	
86	161	
82	161	
142	164	
22	69	
17	91	
165	91	
164	91	
69	91	
41	166	
22	142	
17	142	
142	167	
163	167	
163	168	
29	168	
130	168	
124	169	
91	169	
170	171	
170	172	
19	20	
24	97	
49	173	
49	50	
174	169	
120	175	
176	150	
176	155	
56	57	
6	168	
6	151	
6	156	
6	29	
6	150	
6	155	
6	98	
6	177	
6	153	
178	179	
22	95	
22	62	
22	63	
22	16	
22	163	
22	168	
22	180	
22	69	
22	157	
22	23	
22	124	
22	78	
22	181	
22	43	
22	24	
22	97	
22	85	
22	61	
22	182	
22	101	
22	65	
22	141	
113	11	
113	183	
113	30	
113	103	
113	184	
113	35	
113	114	
113	185	
113	31	
113	129	
113	186	
113	187	
113	188	
113	189	
113	41	
113	190	
113	191	
113	192	
151	150	
156	155	
156	177	
156	98	
193	41	
53	44	
1	2	
73	74	
194	195	
196	197	
139	140	
62	66	
62	77	
67	123	
96	95	
96	198	
78	107	
86	161	
93	94	
93	60	
93	119	
82	83	
82	161	
29	150	
29	155	
29	93	
29	98	
99	100	
63	148	
63	62	
63	107	
165	91	
41	199	
41	166	
41	42	
200	175	
200	121	
200	201	
202	30	
202	103	
202	184	
202	191	
202	203	
202	200	
202	41	
202	204	
52	53	
52	152	
103	114	
103	102	
39	148	
39	40	
39	141	
39	132	
39	72	
134	205	
134	206	
134	135	
15	16	
124	169	
124	174	
126	150	
25	111	
30	51	
9	10	
9	76	
3	93	
3	119	
3	133	
3	94	
3	60	
3	28	
21	20	
11	207	
11	208	
11	209	
11	12	
11	115	
11	129	
59	108	
59	58	
210	211	
212	213	
212	201	
87	88	
13	14	
214	215	
79	216	
107	143	
107	106	
163	168	
161	162	
69	107	
69	164	
91	169	
142	69	
142	107	
142	91	
142	161	
142	86	
142	167	
167	161	
217	197	
